Date,Start,End,Minutes,Hours, Main events in the day
1-Jun-26,8:45,17:42,537,8.95,Induction + chat with mark + reading a lot of material
2-Jun-26,8:45,17:40,535,8.92,"Tour with Vince through the department, chat with mark + reading a lot of material + scheduling meetings. "
3-Jun-26,8:02,20:54,772,12.87,"Long conversation with John, several items to read and prepare for future meetings. Discussed extra hours with Mark and John and got their blessing."
4-Jun-26,8:05,21:19,794,13.24,Arranged meetings with Raj and Karen and started going through all the specific documentation I have as of now (mostly sent by john)
5-Jun-26,8:09,14:09,360,6.00,Mostly reading the material john and mark sent me to prepare for my meeting on Monday
7-Jun-26,10:37,17:26,409,6.82,Started looking at mandatory modules + John's emails and material + mySQL procedures and dialect
8-Jun-26,8:07,18:31,624,10.40,Battle with IT - Meetings with Raj and Karen
9-Jun-26,8:03,19:08,665,11.09,"Still battleing with IT, several things done in terms of organizing things and mapping who is who, reivising SQL documentation etc. "
10-Jun-26,8:01,17:00,539,8.99,Meeting with Dan + Jason + James
11-Jun-26,8:14,18:23,609,10.15,Going through documentation and revising SQL
12-Jun-26,7:10,14:07,417,6.95,Preparing for meetings with Lizzi + revising mySQL specific syntax and database architecture
14-Jun-26,7:52,16:56,544,9.07,Getting ready for meetings for the week following - Starting to get familiar with all the agencies - revising Johns attachments
15-Jun-26,7:29,17:08,579,9.65,Several meetings - SMB + Lizzie + Archie + Kidney registry
16-Jun-26,08:00,17:14,554,9.24,Lots reading on the current state of BHLY
17-Jun-26,07:26,16:02,516,8.60,Got back to studying the material that John sent me
18-Jun-26,08:07,16:54,527,8.79,Catching up with Lizzie's emails 
19-Jun-26,07:46,14:05,379,6.32,"""easy day"". Replying email, getting familiar with BHLY"
22-Jun-26,08:06,17:52,586,9.77,Mostly getting familiar with BHLY and trying to sort IT permission issues. 
23-Jun-26,08:01,18:43,642,10.70,Very long meeting with John +3h and getting ready for Lizzi's meeting + network event with Mark next week
24-Jun-26,07:41,20:18,757,12.62,Started going through the documentation on the X drive.... and then I got locked out and triped some security policy
25-Jun-26,07:55,17:29,574,9.57,Going through documentation still + SQL scripts
26-Jun-26,07:02,18:42,700,11.67,Rabbit hole through through X: files
29-Jun-26,07:54,15:22,448,7.47,Going through x: files
30-Jun-26,07:48,16:30,522,8.70,Wakefield Meeting
1-Jul-26,08:05,17:31,566,9.44,"Meetings, meetings + meetings and more meetings.... That and SQL."
2-Jul-26,08:06,14:44,398,6.64,Early finish - Scheduling meetings + more SQL and scripts to analyse the BHLY admin files
3-Jul-26,07:44,15:01,437,7.29,Meeting with Dani + further documentation parsing
6-Jul-26,08:15,16:50,515,8.59,Meeting with Andrea + parsing all day
7-Jul-26,08:01,16:01,480,8.00,Preparing for meeting tomorrow + parsing documentation
8-Jul-26,14:39,18:24,225,3.75,Following email wasn't feeling very well and did not work in the morning
10-Jul-26,16:40,19:30,170,2.84,"Recovering from a bad day, mostly updating report + email checking and scheduling meetings"
14-Jul-26,08:03,15:11,428,7.14,Catchinig up with mountain of emails + updating report to send to John/Mark/Lizzi/Vince from x: files + mysql workbench login and exploratory research of the db
15-Jul-26,08:01,14:07,366,6.10,"Had to go to the hospital again, so short day ish (still confortably over 22.5h/week probably this week). "
16-Jul-26,07:57,16:23,506,8.44,Fighting with IT to get proper permissions for BHLY QUERRY AND BHLY TEST - Talked with ROB Kings
17-Jul-26,07:59,10:56,177,2.95,"BHLY QUERRY and BHLY TEST permissions given, but workbench crashing. Trying to fix and get schema for the db and start analysing"
19-Jul-26,09:23,19:08,585,9.75,Spend the day working on the analysis for BHLY db (understanding schema and building tools to better analyse it)
20-Jul-26,07:52,23:45,953,15.89,Going through schema + trying to match documentation
21-Jul-26,08:05,23:54,949,15.82,Chasing unread emails + schema + going after permissions for procedures and functions 
22-Jul-26,07:36,23:59,983,16.39,Reports for Meeting on Thursday morning + a lot more analysis. Artificially changed the starting time of work by -40 minutes to not go over the day treshold that breaks the script. Actual ending time was 00:39.
23-Jul-26,07:01,23:15,974,16.24,Preparation for Meeting + last minute DB recreation - SBAR
24-Jul-26,08:08,18:49,641,10.69,Meeting + lizzi's meeting
26-Jul-26,09:12,18:17,545,9.09,Meetings + analysing db
27-Jul-26,08:32,19:43,671,11.19,Analysing db (trying to run with things before lizzi retires)
28-Jul-26,07:57,17:00,543,9.05,Analysing db - and X files (trying to run with things before lizzi retires)
29-Jul-26,07:45,17:56,611,10.19,Analysing X files (trying to run with things before lizzi retires)
